"~id","~labels","Address","distance","lan","CaseID","long"
"0","StreetLight","Intersection of SAN JOSE AVE and RANDALL ST",0.013852560615096461,37.749540617457086,3726456,-122.4136776434511
"1","StreetLight","Intersection of SAN JOSE AVE and RANDALL ST",0.017623285993734274,37.74567156440144,3741054,-122.41144853570255
"2","StreetLight","1570 CHURCH ST, SAN FRANCISCO, CA, 94131",0.0033372810465504047,37.752964081348075,3756158,-122.42375021558583
"3","StreetLight","433 CORBETT AVE, SAN FRANCISCO, CA, 94114",0.023264478805085566,37.76732726737792,3757211,-122.44613031749435
"4","StreetLight","231 30TH ST, SAN FRANCISCO, CA, 94131",0.006353046660981895,37.748933960543035,3729487,-122.4284514901377
"5","StreetLight","2502 MARKET ST, SAN FRANCISCO, CA, 94114",0.015215524481677793,37.769608221110225,3739646,-122.43052983435751
"6","StreetLight","Intersection of BURNETT AVE and DIAMOND HEIGHTS BLVD",0.010637046835163744,37.757402259299745,3754131,-122.43677974479984
"7","StreetLight","1595 NOE ST, SAN FRANCISCO, CA, 94131",0.010234665023647723,37.74489758539433,3753277,-122.42453697556523
"8","StreetLight","Intersection of LIBERTY ST and SANCHEZ ST",0.009411364904986128,37.76245910275835,3727823,-122.42074638815829
"9","StreetLight","Intersection of 15TH ST and SANCHEZ ST",0.020893923927145872,37.77584609521772,3757402,-122.42602399483691
"10","StreetLight","467 CASTRO ST, SAN FRANCISCO, CA, 94114",0.012566487454034847,37.76752191651219,3747173,-122.42630052205106
"11","StreetLight","Intersection of PORTOLA DR and GLENVIEW DR",0.015459534197663494,37.75438896550485,3767359,-122.44187692030536
"12","StreetLight","151 COLLINGWOOD ST, SAN FRANCISCO, CA, 94114",0.013190855802469065,37.76630400292855,3769722,-122.43315260921061
"13","StreetLight","3993 17TH ST, SAN FRANCISCO, CA, 94114",0.011962706758989338,37.76614829393961,3769927,-122.43065159952366
"14","StreetLight","144 PORTOLA DR, SAN FRANCISCO, CA, 94131",0.0050154174440266526,37.75799075851455,3757300,-122.43042092284315
"15","StreetLight","Intersection of 17TH ST and CLAYTON ST",0.026381655266533775,37.770265421274,3750337,-122.4479130329334
"16","StreetLight","38 CARL ST, SAN FRANCISCO, CA, 94117",0.028250568404576775,37.772838175147825,3765725,-122.4482984350675
"17","StreetLight","151 COLLINGWOOD ST, SAN FRANCISCO, CA, 94114",0.017720213568451628,37.770495981967365,3757245,-122.4349434953621
"18","StreetLight","2059 MARKET ST, SAN FRANCISCO, CA, 94114",0.024467268213267737,37.77941702926181,3770552,-122.42587204024794
"19","StreetLight","426 CASTRO ST, SAN FRANCISCO, CA, 94114",0.015718609852585056,37.76795572039399,3753285,-122.43526429955007
"20","StreetLight","Intersection of CASTRO ST and VALLEY ST",0.011878103992144885,37.74323106228666,3770547,-122.42452687959467
"21","StreetLight","Intersection of 16TH ST and GUERRERO ST",0.013414953257388363,37.76344986924985,3764240,-122.41604432344019
"22","StreetLight","826 STANYAN ST, SAN FRANCISCO, CA, 94117",0.024577690716072794,37.77431828608128,3750130,-122.44156607414784
"23","StreetLight","626 CASTRO ST, SAN FRANCISCO, CA, 94114",0.012763860486463571,37.76580368774962,3747167,-122.43315426147451
"24","StreetLight","1376 CLAYTON ST, SAN FRANCISCO, CA, 94114",0.019812034702221402,37.76577902474032,3757214,-122.44302238221067
"25","StreetLight","Intersection of 16TH ST and MARKET ST",0.009234787324211437,37.76416431449924,3745673,-122.42712750231499
"26","StreetLight","2241 MARKET ST, SAN FRANCISCO, CA, 94114",0.011843521188027244,37.76645368201883,3753440,-122.42358631398143
"27","StreetLight","2337 MARKET ST, SAN FRANCISCO, CA, 94114",0.009390026399304554,37.763119403990224,3748008,-122.42178746463625
"28","StreetLight","301 JERSEY ST, SAN FRANCISCO, CA, 94114",0.0020379080707388676,37.75312427155471,3753259,-122.42553472315221
"29","StreetLight","2219 MARKET ST, SAN FRANCISCO, CA, 94114",0.017459887017740025,37.77208503781585,3750217,-122.42304456244415
"30","StreetLight","661 CASTRO ST, SAN FRANCISCO, CA, 94114",0.011468123179956106,37.76628588490056,3757238,-122.4282035232726
"31","StreetLight","3800 21ST ST, SAN FRANCISCO, CA, 94114",0.011989113393615325,37.765918178829494,3739390,-122.42157278487251
"32","StreetLight","Intersection of OSHAUGHNESSY BLVD and DEL VALE AVE",0.02233271603216484,37.746783326892576,3728593,-122.44721135256346
"33","StreetLight","Intersection of CARL ST and HILLWAY AVE",0.03275579800020821,37.770255465269386,3767509,-122.45539105971505
"34","StreetLight","1134 STANYAN ST, SAN FRANCISCO, CA, 94117",0.022147793684371527,37.76986173780965,3767508,-122.44280905922813
